{{3,57,7820},
{3,53,571},
{3,47,1},
{3,53,574},
{3,54,1525},
{0,0,0},
{3,53,577},
{3,54,1522},
{0,0,0},
{3,47,0},
{3,53,570},
{3,47,1},
{3,53,579},
{3,54,1519},
{0,0,0},
{3,53,582},
{3,54,1516},
{0,0,0},
{3,53,585},
{3,54,1513},
{0,0,0},
{3,53,588},
{3,54,1510},
{0,0,0},
{3,47,0},
{3,53,569},
{3,47,1},
{3,53,591},
{3,54,1507},
{0,0,0},
{3,53,593},
{3,54,1503},
{0,0,0},
{3,53,596},
{3,54,1501},
{0,0,0},
{3,53,598},
{3,54,1498},
{0,0,0},
{3,47,0},
{3,53,568},
{3,54,959},
{3,47,1},
{3,53,601},
{3,54,1496},
{0,0,0},
{3,53,603},
{3,54,1494},
{0,0,0},
{3,53,605},
{3,54,1492},
{0,0,0},
{3,53,607},
{3,54,1490},
{0,0,0},
{3,47,0},
{3,53,567},
{3,47,1},
{3,53,609},
{3,54,1489},
{0,0,0},
{3,53,610},
{3,54,1487},
{0,0,0},
{3,53,612},
{3,54,1486},
{0,0,0},
{3,53,613},
{3,54,1485},
{0,0,0},
{3,47,0},
{3,53,566},
{3,47,1},
{3,53,614},
{3,54,1484},
{0,0,0},
{3,53,615},
{3,54,1483},
{0,0,0},
{3,53,616},
{3,54,1482},
{0,0,0},
{3,54,1481},
{0,0,0},
{3,53,617},
{3,54,1480},
{0,0,0},
{3,53,618},
{3,54,1479},
{0,0,0},
{3,53,619},
{3,54,1478},
{0,0,0},
{3,54,1477},
{0,0,0},
{3,53,620},
{0,0,0},
{3,54,1476},
{0,0,0},
{3,47,0},
{3,54,960},
{3,47,1},
{3,53,621},
{0,0,0},
{3,54,1475},
{0,0,0},
{3,53,622},
{0,0,0},
{3,47,0},
{3,53,565},
{3,47,1},
{3,54,1474},
{0,0,0},
{3,53,623},
{0,0,0},
{3,54,1473},
{0,0,0},
{3,53,624},
{0,0,0},
{3,54,1472},
{0,0,0},
{3,53,625},
{0,0,0},
{3,54,1471},
{0,0,0},
{3,53,626},
{0,0,0},
{3,54,1470},
{0,0,0},
{3,53,627},
{0,0,0},
{3,54,1469},
{0,0,0},
{3,53,628},
{0,0,0},
{3,54,1468},
{0,0,0},
{3,53,629},
{0,0,0},
{3,53,630},
{3,54,1467},
{0,0,0},
{3,53,631},
{0,0,0},
{3,53,632},
{3,54,1466},
{0,0,0},
{3,53,633},
{0,0,0},
{3,53,634},
{3,54,1465},
{0,0,0},
{3,53,635},
{0,0,0},
{3,53,636},
{3,54,1464},
{0,0,0},
{3,54,1463},
{0,0,0},
{3,53,637},
{0,0,0},
{3,54,1462},
{0,0,0},
{3,53,638},
{0,0,0},
{3,53,639},
{0,0,0},
{3,53,640},
{0,0,0},
{3,54,1461},
{0,0,0},
{3,57,-1},
{0,0,0},
{3,57,7822},
{3,48,2},
{3,53,796},
{3,54,1410},
{0,0,0},
{3,53,795},
{0,0,0},
{3,53,794},
{3,54,1411},
{0,0,0},
{3,53,792},
{3,54,1413},
{0,0,0},
{3,53,790},
{3,54,1417},
{0,0,0},
{3,53,787},
{3,54,1420},
{0,0,0},
{3,53,784},
{3,54,1425},
{0,0,0},
{3,53,781},
{3,54,1429},
{0,0,0},
{3,53,778},
{3,54,1433},
{0,0,0},
{3,53,775},
{3,54,1438},
{0,0,0},
{3,53,772},
{3,54,1444},
{0,0,0},
{3,53,769},
{3,54,1449},
{0,0,0},
{3,53,766},
{3,54,1455},
{0,0,0},
{3,47,0},
{3,48,4},
{3,47,1},
{3,53,762},
{3,54,1462},
{0,0,0},
{3,53,758},
{3,54,1469},
{0,0,0},
{3,53,753},
{3,54,1477},
{0,0,0},
{3,53,749},
{3,54,1484},
{0,0,0},
{3,53,744},
{3,54,1491},
{0,0,0},
{3,53,740},
{3,54,1498},
{0,0,0},
{3,53,736},
{3,54,1504},
{0,0,0},
{3,53,732},
{3,54,1510},
{0,0,0},
{3,53,728},
{3,54,1517},
{0,0,0},
{3,53,724},
{3,54,1522},
{0,0,0},
{3,53,720},
{3,54,1527},
{0,0,0},
{3,53,717},
{3,54,1531},
{0,0,0},
{3,53,714},
{3,54,1535},
{0,0,0},
{3,53,711},
{3,54,1539},
{0,0,0},
{3,53,708},
{3,54,1542},
{0,0,0},
{3,53,705},
{3,54,1546},
{0,0,0},
{3,53,702},
{3,54,1549},
{0,0,0},
{3,48,3},
{3,53,699},
{3,54,1552},
{0,0,0},
{3,53,697},
{3,54,1555},
{0,0,0},
{3,53,694},
{3,54,1557},
{0,0,0},
{3,53,692},
{3,54,1559},
{0,0,0},
{3,53,690},
{3,54,1560},
{0,0,0},
{3,53,688},
{3,54,1562},
{0,0,0},
{3,53,686},
{3,54,1563},
{0,0,0},
{3,53,685},
{3,54,1564},
{0,0,0},
{3,53,684},
{3,54,1565},
{0,0,0},
{3,53,683},
{3,54,1566},
{0,0,0},
{3,53,682},
{0,0,0},
{3,53,681},
{3,54,1567},
{0,0,0},
{3,57,-1},
{0,0,0},
{3,47,0},
{3,54,961},
{0,0,0},
{3,47,1},
{3,57,7823},
{3,48,2},
{3,53,534},
{3,54,1737},
{0,0,0},
{3,54,1736},
{0,0,0},
{3,53,535},
{0,0,0},
{3,53,537},
{3,54,1735},
{0,0,0},
{3,53,540},
{3,54,1733},
{0,0,0},
{3,53,543},
{3,54,1730},
{0,0,0},
{3,53,546},
{3,54,1727},
{0,0,0},
{3,53,550},
{3,54,1723},
{0,0,0},
{3,53,554},
{3,54,1719},
{0,0,0},
{3,53,559},
{3,54,1715},
{0,0,0},
{3,53,563},
{3,54,1710},
{0,0,0},
{3,53,567},
{3,54,1706},
{0,0,0},
{3,53,571},
{3,54,1701},
{0,0,0},
{3,53,574},
{3,54,1697},
{0,0,0},
{3,53,577},
{3,54,1693},
{0,0,0},
{3,53,580},
{3,54,1689},
{0,0,0},
{3,53,582},
{3,54,1685},
{0,0,0},
{3,53,584},
{3,54,1682},
{0,0,0},
{3,53,585},
{3,54,1679},
{0,0,0},
{3,53,587},
{3,54,1676},
{0,0,0},
{3,53,588},
{3,54,1673},
{0,0,0},
{3,53,589},
{3,54,1670},
{0,0,0},
{3,53,590},
{3,54,1667},
{0,0,0},
{3,53,591},
{3,54,1665},
{0,0,0},
{3,53,592},
{3,54,1662},
{0,0,0},
{3,54,1659},
{0,0,0},
{3,53,593},
{3,54,1657},
{0,0,0},
{3,54,1655},
{0,0,0},
{3,53,594},
{3,54,1653},
{0,0,0},
{3,53,595},
{3,54,1650},
{0,0,0},
{3,54,1647},
{0,0,0},
{3,53,596},
{3,54,1643},
{0,0,0},
{3,54,1640},
{0,0,0},
{3,53,597},
{3,54,1636},
{0,0,0},
{3,54,1633},
{0,0,0},
{3,53,598},
{3,54,1630},
{0,0,0},
{3,54,1627},
{0,0,0},
{3,53,599},
{3,54,1624},
{0,0,0},
{3,54,1622},
{0,0,0},
{3,53,600},
{3,54,1619},
{0,0,0},
{3,54,1617},
{0,0,0},
{3,53,601},
{3,54,1615},
{0,0,0},
{3,54,1613},
{0,0,0},
{3,53,602},
{3,54,1611},
{0,0,0},
{3,53,603},
{3,54,1609},
{0,0,0},
{3,53,604},
{3,54,1607},
{0,0,0},
{3,54,1605},
{0,0,0},
{3,53,605},
{3,54,1603},
{0,0,0},
{3,53,606},
{3,54,1602},
{0,0,0},
{3,54,1600},
{0,0,0},
{3,53,607},
{3,54,1599},
{0,0,0},
{3,54,1597},
{0,0,0},
{3,53,608},
{3,54,1596},
{0,0,0},
{3,54,1595},
{0,0,0},
{3,53,609},
{3,54,1594},
{0,0,0},
{3,54,1593},
{0,0,0},
{3,54,1592},
{0,0,0},
{3,54,1591},
{0,0,0},
{3,53,610},
{3,54,1590},
{0,0,0},
{3,54,1589},
{0,0,0},
{3,54,1588},
{0,0,0},
{3,54,1587},
{0,0,0},
{3,53,611},
{0,0,0},
{3,54,1586},
{0,0,0},
{3,47,0},
{3,54,962},
{3,47,1},
{3,54,1585},
{0,0,0},
{3,57,-1},
{0,0,0},
{3,47,0},
{3,53,564},
{0,0,0},
{3,54,963},
{0,0,0},
{3,53,565},
{0,0,0},
{3,54,962},
{0,0,0},
{3,48,3},
{0,0,0},
{3,57,-1},
{1,330,0},
{0,0,0},
{3,57,7824},
{3,48,2},
{3,53,1015},
{3,54,2100},
{1,330,1},
{0,0,0},
{3,57,-1},
{1,330,0},
{0,0,0}}
